file	beg	end	text	speaker
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	0.009	7.07	With a perilla of monumental snores scattered like leaves marked and taken by your entrance	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	9.029	10.05	gas station,	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	10.22	11.529	four gas stations,	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	13.64	15.01	technological and	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	15.71	16.629	miniature	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	16.92	18.409	asshole of the stars.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	19.059	21.29	This is the one that will run you into trouble.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	21.649	24.129	But a coin in the right place can do wonders	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	24.469	27.959	to be reckoned with an old trips large as well as small	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	29.01	31.75	beyond night and its labrador retriever,	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	32.229	35.24	the dim tree well up into the star post	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	35.47	38.509	outlined it blossoms compressed to silhouettes	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	38.77	39.49	almond	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	39.77	39.9	olive	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	41.119	41.43	more.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	55.43	56.369	She also says,	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	56.84	57.669	I love home.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	62.599	66.36	It occurred to me that I should have shown that eight years ago when I went with home.	spk_0
s3://coghealth/poetry3/Andrews-Bruce-and-Charles-North_Complete-Recording_Ear-Inn-NY_10-28-78.wav	66.51	67.47	The title is Just	spk_0
